"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"185596","occ","","","18209","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185597","occ","","","18209","Amphicyonidae","family","41266","Barstovian","","15.97","13.6","3510"
"185598","occ","","","18209","Pseudaelurus marshi","species","51144","Barstovian","","15.97","13.6","3510"
"185617","occ","5788","","18211","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"185627","occ","","","18213","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","3510"
"185632","occ","","","18214","Barbourofelis morrisi","species","44430","Clarendonian","","13.6","10.3","3077"
"185633","occ","","","18214","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185634","occ","","","18214","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185635","occ","","","18214","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"185657","occ","","","18217","Cynarctus voorhiesi","species","45449","Clarendonian","","13.6","10.3","3558"
"185658","occ","","","18217","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","3558"
"185659","occ","","","18217","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185660","occ","","","18217","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185661","occ","","","18217","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"185663","occ","","","18217","Pseudocyon","genus","41294","Clarendonian","","13.6","10.3","1977"
"185672","occ","","","18218","Barbourofelis","genus","41037","Clarendonian","","13.6","10.3","6193"
"185673","occ","","","18218","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185674","occ","","","18218","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185675","occ","","","18218","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","1032"
"185676","occ","","","18218","Pseudocyon","genus","41294","Clarendonian","","13.6","10.3","1977"
"185695","occ","","","18219","Leptocyon","genus","41218","Clarendonian","","13.6","10.3","3794"
"185696","occ","5804","","18219","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
"185697","occ","","","18219","Nimravides","genus","41065","Clarendonian","","13.6","10.3","3794"
"185704","occ","","","18220","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","1570"
"185705","occ","","","18220","Plionictis ogygia","species","47921","Barstovian","","15.97","13.6","1570"
"185706","occ","","","18220","Leptarctus primus","species","47534","Barstovian","","15.97","13.6","1570"
